batch_id,selected_request_id,origin,destination,max_wait,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_drop_penalty,assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B1,,10,3,7,83,17,66,2,1681800,,,,,,Overdue
B2,R2,1,10,5,61,16,45,1,1472400,10.0,22.0,06:02,40.0,06:20,Complete
B3,R3,6,2,5,92,13,79,1,1808500,5.0,23.0,06:03,39.0,06:19,Complete
B4,,10,4,5,66,14,52,2,1543900,,,,,,Overdue
B5,,10,3,7,83,17,66,2,1681800,,,,,,Overdue
B6,R6,10,3,7,83,17,66,1,1671800,9.0,26.0,06:06,49.0,06:29,Complete
B7,,10,4,5,66,14,52,2,1543900,,,,,,Overdue
B8,R8,10,3,7,83,17,66,1,1671800,9.0,29.0,06:09,52.0,06:32,Complete
B9,R9,2,10,5,106,18,88,0,1886900,1.0,31.0,06:11,52.0,06:32,Complete
B10,R10,6,7,5,77,15,62,0,1632300,0.0,31.0,06:11,48.0,06:28,Complete
B11,,10,4,5,66,14,52,1,1533900,,,,,,Overdue
B12,,1,10,5,61,16,45,1,1472400,,,,,,Overdue
B13,R13,3,10,6,83,17,66,0,1662800,2.0,32.0,06:12,52.0,06:32,Complete
B14,,10,3,7,83,17,66,1,1671800,,,,,,Overdue
B15,,1,10,5,61,15,46,1,1472400,,,,,,Overdue
B16,R16,6,2,5,92,13,79,0,1798500,11.0,33.0,06:13,49.0,06:29,Complete
B17,R17,6,7,5,77,15,62,0,1632300,14.0,33.0,06:13,50.0,06:30,Complete
B18,,10,3,7,83,17,66,1,1671800,,,,,,Overdue
B19,R19,4,9,5,124,17,107,0,2072400,13.0,39.0,06:19,59.0,06:39,Complete
B20,,10,3,7,83,17,66,2,1681800,,,,,,Overdue
B21,,10,4,5,66,14,52,1,1533900,,,,,,Overdue
B22,R22,7,10,5,108,18,90,1,1916100,6.0,41.0,06:21,62.0,06:42,Complete
B23,R23,9,3,4,121,17,104,1,2060100,8.0,42.0,06:22,62.0,06:42,Complete
B24,,1,10,5,61,15,46,2,1482400,,,,,,Overdue
B25,R25,2,6,4,92,13,79,1,1809500,5.0,45.0,06:25,61.0,06:41,Complete
B26,R26,4,9,5,124,18,106,1,2082400,3.0,46.0,06:26,66.0,06:46,Complete
B27,,10,3,7,83,17,66,2,1681800,,,,,,Overdue
