batch_id,selected_request_id,origin,destination,max_wait,time_window_start,time_window_start_hhmm,time_window_end,time_window_end_hhmm,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_cost(원),assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B1,,6,2,11,35,06:15,46,06:26,80,13,67,2,102176,,,,,,Overdue
B2,,4,9,11,40,06:20,51,06:31,102,17,85,2,102919,,,,,,Overdue
B3,,4,9,11,42,06:22,53,06:33,102,18,84,2,102986,,,,,,Overdue
B4,R4,6,7,11,38,06:18,49,06:29,90,14,76,1,96947,5.0,24.0,06:04,48.0,06:28,Complete
B5,,7,10,11,42,06:22,53,06:33,81,18,63,2,95190,,,,,,Overdue
B6,,10,3,13,42,06:22,55,06:35,101,17,84,2,102875,,,,,,Overdue
B7,,9,4,11,44,06:24,55,06:35,99,17,82,2,103012,,,,,,Overdue
B8,,10,3,13,46,06:26,59,06:39,101,17,84,2,102875,,,,,,Overdue
B9,R9,6,7,11,44,06:24,55,06:35,90,14,76,1,96947,5.0,30.0,06:10,51.0,06:31,Complete
B10,,10,4,11,44,06:24,55,06:35,66,14,52,2,106455,,,,,,Overdue
B11,R11,6,7,11,46,06:26,57,06:37,90,14,76,0,188099,5.0,33.0,06:13,54.0,06:34,Complete
B12,,6,10,10,44,06:24,54,06:34,69,12,57,1,100361,,,,,,Overdue
B13,,1,9,11,54,06:34,65,06:45,104,18,86,2,102744,,,,,,Overdue
B14,,1,10,11,52,06:32,63,06:43,55,16,39,2,107041,,,,,,Overdue
B15,,5,9,11,56,06:36,67,06:47,103,19,84,2,102763,,,,,,Overdue
B16,,6,7,11,52,06:32,63,06:43,90,14,76,2,99845,,,,,,Overdue
B17,,2,9,11,56,06:36,67,06:47,60,16,44,2,97986,,,,,,Overdue
B18,,3,10,12,57,06:37,69,06:49,93,17,76,2,102335,,,,,,Overdue
B19,,6,7,11,54,06:34,65,06:45,90,14,76,2,99845,,,,,,Overdue
B20,,1,10,11,60,06:40,71,06:51,55,16,39,2,107041,,,,,,Overdue
B21,,2,9,11,64,06:44,75,06:55,60,16,44,2,97986,,,,,,Overdue
B22,,1,10,11,64,06:44,75,06:55,55,15,40,2,106750,,,,,,Overdue
B23,,6,7,11,64,06:44,75,06:55,90,14,76,2,99845,,,,,,Overdue
B24,,1,10,11,68,06:48,79,06:59,55,16,39,1,101220,,,,,,Overdue
B25,,6,9,11,75,06:55,86,07:06,128,22,106,2,98698,,,,,,Overdue
B26,R26,10,4,11,67,06:47,78,06:58,66,14,52,1,101902,29.0,63.0,06:43,78.0,06:58,Complete
B27,,6,7,11,68,06:48,79,06:59,90,14,76,1,96947,,,,,,Overdue
B28,,4,9,11,72,06:52,83,07:03,102,17,85,2,102919,,,,,,Overdue
B29,R29,10,3,13,72,06:52,85,07:05,101,17,84,1,200125,19.0,63.0,06:43,84.0,07:04,Complete
B30,R30,10,4,11,71,06:51,82,07:02,66,14,52,1,101902,29.0,60.0,06:40,81.0,07:01,Complete
B31,,3,10,12,77,06:57,89,07:09,93,17,76,2,102335,,,,,,Overdue
B32,R32,10,3,13,77,06:57,90,07:10,101,17,84,1,100062,19.0,60.0,06:40,81.0,07:01,Complete
B33,,1,10,11,78,06:58,89,07:09,55,16,39,2,107041,,,,,,Overdue
B34,,6,7,11,78,06:58,89,07:09,90,15,75,2,99923,,,,,,Overdue
B35,R35,10,3,13,80,07:00,93,07:13,101,17,84,1,100062,39.0,67.0,06:47,91.0,07:11,Complete
B36,R36,4,9,11,82,07:02,93,07:13,102,18,84,1,200336,3.0,75.0,06:55,93.0,07:13,Complete
B37,,9,10,12,85,07:05,97,07:17,107,21,86,2,86000,,,,,,Overdue
B38,R38,10,3,13,81,07:01,94,07:14,101,17,84,1,100062,39.0,64.0,06:44,88.0,07:08,Complete
B39,,1,10,11,80,07:00,91,07:11,55,15,40,2,106750,,,,,,Overdue
B40,R40,10,3,13,85,07:05,98,07:18,101,17,84,1,100062,39.0,70.0,06:50,94.0,07:14,Complete
B41,,4,9,11,88,07:08,99,07:19,102,18,84,2,102986,,,,,,Overdue
B42,,10,3,13,87,07:07,100,07:20,101,17,84,3,105687,,,,,,Overdue
B43,,10,3,13,88,07:08,101,07:21,101,17,84,2,102875,,,,,,Overdue
B44,R44,10,4,11,85,07:05,96,07:16,66,14,52,0,194700,9.0,75.0,06:55,93.0,07:13,Complete
B45,R45,4,9,11,90,07:10,101,07:21,102,18,84,0,194700,3.0,72.0,06:52,96.0,07:16,Complete
B46,R46,10,4,11,86,07:06,97,07:17,66,14,52,0,97350,9.0,72.0,06:52,90.0,07:10,Complete
B47,R47,6,7,11,88,07:08,99,07:19,90,15,75,1,96986,65.0,80.0,07:00,99.0,07:19,Complete
B48,,8,4,11,88,07:08,99,07:19,95,14,81,1,99158,,,,,,Overdue
B49,R49,5,7,11,93,07:13,104,07:24,56,12,44,1,101672,14.0,81.0,07:01,94.0,07:14,Complete
B50,,5,1,11,92,07:12,103,07:23,31,10,21,2,118052,,,,,,Overdue
B51,R51,8,2,11,94,07:14,105,07:25,37,12,25,1,104660,17.0,82.0,07:02,103.0,07:23,Complete
B52,R52,6,3,11,96,07:16,107,07:27,85,12,73,1,98616,45.0,91.0,07:11,107.0,07:27,Complete
B53,R53,6,7,12,98,07:18,110,07:30,90,14,76,1,96947,65.0,84.0,07:04,102.0,07:22,Complete
B54,,10,9,12,105,07:25,117,07:37,106,21,85,2,80734,,,,,,Overdue
B55,,10,9,12,106,07:26,118,07:38,106,21,85,2,80734,,,,,,Overdue
B56,,10,3,12,103,07:23,115,07:35,101,17,84,2,102875,,,,,,Overdue
B57,R57,6,3,11,100,07:20,111,07:31,85,12,73,1,98616,45.0,88.0,07:08,104.0,07:24,Complete
B58,R58,2,4,10,98,07:18,108,07:28,55,8,47,1,103271,11.0,94.0,07:14,106.0,07:26,Complete
B59,R59,7,1,11,99,07:19,110,07:30,68,9,59,1,100766,5.0,90.0,07:10,110.0,07:30,Complete
B60,R60,8,2,11,102,07:22,113,07:33,37,12,25,1,104660,17.0,90.0,07:10,106.0,07:26,Complete
B61,,10,9,12,111,07:31,123,07:43,106,21,85,3,82351,,,,,,Overdue
B62,R62,2,4,10,99,07:19,109,07:29,55,8,47,0,98149,11.0,91.0,07:11,103.0,07:23,Complete
B63,R63,6,3,11,103,07:23,114,07:34,85,12,73,0,95500,55.0,91.0,07:11,104.0,07:24,Complete
B64,,6,7,12,106,07:26,118,07:38,90,15,75,1,96986,,,,,,Overdue
B65,,2,6,10,106,07:26,116,07:36,85,13,72,1,98980,,,,,,Overdue
B66,,1,9,14,112,07:32,126,07:46,104,18,86,2,102744,,,,,,Overdue
B67,,10,9,12,115,07:35,127,07:47,106,21,85,2,80734,,,,,,Overdue
B68,,6,1,11,106,07:26,117,07:37,27,9,18,1,108522,,,,,,Overdue
B69,R69,6,7,12,112,07:32,124,07:44,90,15,75,0,94050,15.0,97.0,07:17,115.0,07:35,Complete
B70,R70,8,2,11,110,07:30,121,07:41,37,12,25,0,95550,7.0,98.0,07:18,116.0,07:36,Complete
B71,,6,9,13,122,07:42,135,07:55,128,22,106,2,98698,,,,,,Overdue
B72,,7,6,11,114,07:34,125,07:45,86,14,72,2,99655,,,,,,Overdue
B73,R73,8,2,11,112,07:32,123,07:43,37,12,25,1,104660,27.0,100.0,07:20,116.0,07:36,Complete
B74,R74,2,4,10,109,07:29,119,07:39,55,8,47,1,103271,1.0,101.0,07:21,117.0,07:37,Complete
B75,,10,9,12,122,07:42,134,07:54,106,21,85,2,80734,,,,,,Overdue
B76,,10,9,12,123,07:43,135,07:55,106,21,85,2,80734,,,,,,Overdue
B77,R77,8,2,11,115,07:35,126,07:46,37,12,25,1,313980,27.0,103.0,07:23,119.0,07:39,Complete
B78,,3,9,10,121,07:41,131,07:51,108,17,91,2,100943,,,,,,Overdue
B79,R79,2,4,10,116,07:36,126,07:46,55,8,47,1,206543,1.0,108.0,07:28,120.0,07:40,Complete
B80,R80,6,1,11,117,07:37,128,07:48,27,9,18,1,108522,75.0,112.0,07:32,128.0,07:48,Complete
