batch_id,selected_request_id,origin,destination,max_wait,time_window_start,time_window_start_hhmm,time_window_end,time_window_end_hhmm,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_cost(원),assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B1,R1,6,2,11,35,06:15,46,06:26,80,13,67,1,264758,15.0,22.0,06:02,36.0,06:16,Complete
B2,R2,4,9,11,40,06:20,51,06:31,102,17,85,1,264841,3.0,23.0,06:03,44.0,06:24,Complete
B3,R3,4,9,11,42,06:22,53,06:33,102,18,84,1,264930,3.0,26.0,06:06,47.0,06:27,Complete
B4,R4,6,7,11,38,06:18,49,06:29,90,14,76,1,262211,5.0,24.0,06:04,48.0,06:28,Complete
B5,R5,7,10,11,42,06:22,53,06:33,81,18,63,1,258444,6.0,24.0,06:04,43.0,06:23,Complete
B6,R6,10,3,13,42,06:22,55,06:35,101,17,84,1,264824,19.0,25.0,06:05,47.0,06:27,Complete
B7,R7,9,4,11,44,06:24,55,06:35,99,17,82,1,265009,8.0,27.0,06:07,45.0,06:25,Complete
B8,R8,10,3,13,46,06:26,59,06:39,101,17,84,1,264824,19.0,29.0,06:09,50.0,06:30,Complete
B9,R9,6,7,11,44,06:24,55,06:35,90,14,76,1,262211,5.0,30.0,06:10,51.0,06:31,Complete
B10,R10,10,4,11,44,06:24,55,06:35,66,14,52,1,269595,9.0,30.0,06:10,45.0,06:25,Complete
B11,R11,6,7,11,46,06:26,57,06:37,90,14,76,0,508100,5.0,33.0,06:13,54.0,06:34,Complete
B12,R12,6,10,10,44,06:24,54,06:34,69,12,57,0,256300,25.0,32.0,06:12,46.0,06:26,Complete
B13,R13,1,9,11,54,06:34,65,06:45,104,18,86,0,257250,20.0,36.0,06:16,63.0,06:43,Complete
B14,R14,1,10,11,52,06:32,63,06:43,55,16,39,1,271476,0.0,47.0,06:27,63.0,06:43,Complete
B15,R15,5,9,11,56,06:36,67,06:47,103,19,84,0,257150,4.0,37.0,06:17,65.0,06:45,Complete
B16,R16,6,7,11,52,06:32,63,06:43,90,14,76,1,262211,35.0,43.0,06:23,61.0,06:41,Complete
B17,R17,2,9,11,56,06:36,67,06:47,60,16,44,1,262634,1.0,40.0,06:20,65.0,06:45,Complete
B18,R18,3,10,12,57,06:37,69,06:49,93,17,76,1,264555,2.0,40.0,06:20,68.0,06:48,Complete
B19,R19,6,7,11,54,06:34,65,06:45,90,14,76,1,262211,35.0,40.0,06:20,58.0,06:38,Complete
B20,R20,1,10,11,60,06:40,71,06:51,55,16,39,1,271476,0.0,44.0,06:24,66.0,06:46,Complete
B21,R21,2,9,11,64,06:44,75,06:55,60,16,44,1,262634,1.0,48.0,06:28,68.0,06:48,Complete
B22,R22,1,10,11,64,06:44,75,06:55,55,15,40,1,271075,2.0,49.0,06:29,74.0,06:54,Complete
B23,R23,6,7,11,64,06:44,75,06:55,90,14,76,1,262211,45.0,57.0,06:37,75.0,06:55,Complete
B24,R24,1,10,11,68,06:48,79,06:59,55,16,39,0,255400,2.0,52.0,06:32,71.0,06:51,Complete
B25,R25,6,9,11,75,06:55,86,07:06,128,22,106,0,254500,65.0,53.0,06:33,84.0,07:04,Complete
B26,R26,10,4,11,67,06:47,78,06:58,66,14,52,1,269595,29.0,60.0,06:40,78.0,06:58,Complete
B27,R27,6,7,11,68,06:48,79,06:59,90,14,76,0,254050,45.0,54.0,06:34,72.0,06:52,Complete
B28,R28,4,9,11,72,06:52,83,07:03,102,17,85,1,264841,13.0,60.0,06:40,78.0,06:58,Complete
B29,R29,10,3,13,72,06:52,85,07:05,101,17,84,1,529648,6.0,63.0,06:43,84.0,07:04,Complete
B30,R30,10,4,11,71,06:51,82,07:02,66,14,52,0,257350,25.0,57.0,06:37,75.0,06:55,Complete
B31,R31,3,10,12,77,06:57,89,07:09,93,17,76,1,264555,12.0,60.0,06:40,78.0,06:58,Complete
B32,R32,10,3,13,77,06:57,90,07:10,101,17,84,1,264824,6.0,60.0,06:40,81.0,07:01,Complete
B33,R33,1,10,11,78,06:58,89,07:09,55,16,39,1,271476,10.0,68.0,06:48,87.0,07:07,Complete
B34,R34,6,7,11,78,06:58,89,07:09,90,15,75,1,262320,75.0,63.0,06:43,88.0,07:08,Complete
B35,R35,10,3,13,80,07:00,93,07:13,101,17,84,1,264824,29.0,63.0,06:43,88.0,07:08,Complete
B36,R36,4,9,11,82,07:02,93,07:13,102,18,84,1,529860,8.0,75.0,06:55,93.0,07:13,Complete
B37,R37,9,10,12,85,07:05,97,07:17,107,21,86,1,248776,1.0,71.0,06:51,93.0,07:13,Complete
B38,R38,10,3,13,81,07:01,94,07:14,101,17,84,1,264824,39.0,73.0,06:53,94.0,07:14,Complete
B39,R39,1,10,11,80,07:00,91,07:11,55,15,40,1,271075,10.0,65.0,06:45,84.0,07:04,Complete
B40,R40,10,3,13,85,07:05,98,07:18,101,17,84,2,272398,49.0,80.0,07:00,98.0,07:18,Complete
B41,R41,4,9,11,88,07:08,99,07:19,102,18,84,1,264930,9.0,70.0,06:50,88.0,07:08,Complete
B42,R42,10,3,13,87,07:07,100,07:20,101,17,84,1,264824,39.0,70.0,06:50,91.0,07:11,Complete
B43,R43,10,3,13,88,07:08,101,07:21,101,17,84,0,257250,2.0,77.0,06:57,101.0,07:21,Complete
B44,R44,10,4,11,85,07:05,96,07:16,66,14,52,0,514700,0.0,75.0,06:55,93.0,07:13,Complete
B45,R45,4,9,11,90,07:10,101,07:21,102,18,84,0,514700,8.0,72.0,06:52,96.0,07:16,Complete
B46,R46,10,4,11,86,07:06,97,07:17,66,14,52,0,257350,0.0,72.0,06:52,90.0,07:10,Complete
B47,R47,6,7,11,88,07:08,99,07:19,90,15,75,0,254050,75.0,73.0,06:53,91.0,07:11,Complete
B48,R48,8,4,11,88,07:08,99,07:19,95,14,81,0,256300,17.0,74.0,06:54,99.0,07:19,Complete
B49,R49,5,7,11,93,07:13,104,07:24,56,12,44,1,270762,24.0,81.0,07:01,94.0,07:14,Complete
B50,R50,5,1,11,92,07:12,103,07:23,31,10,21,1,286123,14.0,82.0,07:02,93.0,07:13,Complete
B51,R51,8,2,11,94,07:14,105,07:25,37,12,25,1,280660,27.0,82.0,07:02,103.0,07:23,Complete
B52,R52,6,3,11,96,07:16,107,07:27,85,12,73,1,264095,105.0,91.0,07:11,107.0,07:27,Complete
B53,R53,6,7,12,98,07:18,110,07:30,90,14,76,1,262211,125.0,84.0,07:04,104.0,07:24,Complete
B54,R54,10,9,12,105,07:25,117,07:37,106,21,85,1,243823,10.0,93.0,07:13,115.0,07:35,Complete
B55,R55,10,9,12,106,07:26,118,07:38,106,21,85,1,243823,10.0,90.0,07:10,118.0,07:38,Complete
B56,R56,10,3,12,103,07:23,115,07:35,101,17,84,1,264824,1.0,96.0,07:16,114.0,07:34,Complete
B57,R57,6,3,11,100,07:20,111,07:31,85,12,73,1,264095,105.0,88.0,07:08,104.0,07:24,Complete
B58,R58,2,4,10,98,07:18,108,07:28,55,8,47,1,271782,15.0,94.0,07:14,106.0,07:26,Complete
B59,R59,7,1,11,99,07:19,110,07:30,68,9,59,1,267545,5.0,90.0,07:10,110.0,07:30,Complete
B60,R60,8,2,11,102,07:22,113,07:33,37,12,25,1,280660,27.0,90.0,07:10,106.0,07:26,Complete
B61,R61,10,9,12,111,07:31,123,07:43,106,21,85,1,243823,12.0,97.0,07:17,122.0,07:42,Complete
B62,R62,2,4,10,99,07:19,109,07:29,55,8,47,0,258150,15.0,91.0,07:11,103.0,07:23,Complete
B63,R63,6,3,11,103,07:23,114,07:34,85,12,73,0,255500,115.0,91.0,07:11,113.0,07:33,Complete
B64,R64,6,7,12,106,07:26,118,07:38,90,15,75,0,254050,55.0,91.0,07:11,117.0,07:37,Complete
B65,R65,2,6,10,106,07:26,116,07:36,85,13,72,0,255800,21.0,93.0,07:13,107.0,07:27,Complete
B66,R66,1,9,14,112,07:32,126,07:46,104,18,86,0,257250,125.0,94.0,07:14,119.0,07:39,Complete
B67,R67,10,9,12,115,07:35,127,07:47,106,21,85,0,237500,12.0,94.0,07:14,119.0,07:39,Complete
B68,R68,6,1,11,106,07:26,117,07:37,27,9,18,0,255800,55.0,97.0,07:17,107.0,07:27,Complete
B69,R69,6,7,12,112,07:32,124,07:44,90,15,75,0,254050,135.0,97.0,07:17,124.0,07:44,Complete
B70,R70,8,2,11,110,07:30,121,07:41,37,12,25,0,255550,7.0,98.0,07:18,116.0,07:36,Complete
B71,R71,6,9,13,122,07:42,135,07:55,128,22,106,1,260372,95.0,100.0,07:20,132.0,07:52,Complete
B72,R72,7,6,11,114,07:34,125,07:45,86,14,72,1,262183,35.0,100.0,07:20,124.0,07:44,Complete
B73,R73,8,2,11,112,07:32,123,07:43,37,12,25,1,280660,37.0,100.0,07:20,116.0,07:36,Complete
B74,R74,2,4,10,109,07:29,119,07:39,55,8,47,1,271782,11.0,101.0,07:21,117.0,07:37,Complete
B75,R75,10,9,12,122,07:42,134,07:54,106,21,85,1,243823,69.0,105.0,07:25,133.0,07:53,Complete
B76,R76,10,9,12,123,07:43,135,07:55,106,21,85,1,243823,69.0,102.0,07:22,130.0,07:50,Complete
B77,R77,8,2,11,115,07:35,126,07:46,37,12,25,1,841980,37.0,103.0,07:23,119.0,07:39,Complete
B78,R78,3,9,10,121,07:41,131,07:51,108,17,91,1,262817,6.0,104.0,07:24,122.0,07:42,Complete
B79,R79,2,4,10,116,07:36,126,07:46,55,8,47,1,543565,11.0,108.0,07:28,120.0,07:40,Complete
B80,R80,6,1,11,117,07:37,128,07:48,27,9,18,1,290744,85.0,112.0,07:32,128.0,07:48,Complete
B81,R81,10,9,12,129,07:49,141,08:01,106,21,85,1,243823,69.0,108.0,07:28,136.0,07:56,Complete
B82,R82,6,1,11,118,07:38,129,07:49,27,9,18,1,290744,85.0,109.0,07:29,125.0,07:45,Complete
B83,R83,6,7,12,124,07:44,136,07:56,90,15,75,1,262320,145.0,109.0,07:29,135.0,07:55,Complete
B84,R84,8,2,11,121,07:41,132,07:52,37,12,25,1,280660,47.0,114.0,07:34,130.0,07:50,Complete
B85,R85,1,9,14,128,07:48,142,08:02,104,18,86,1,264648,95.0,110.0,07:30,129.0,07:49,Complete
B86,R86,5,7,11,123,07:43,134,07:54,56,12,44,0,256399,145.0,119.0,07:39,132.0,07:52,Complete
B87,R87,7,4,10,120,07:40,130,07:50,76,9,67,0,256700,24.0,111.0,07:31,129.0,07:49,Complete
B88,R88,8,2,11,123,07:43,134,07:54,37,12,25,0,255550,47.0,111.0,07:31,127.0,07:47,Complete
B89,R89,10,9,12,132,07:52,144,08:04,106,21,85,0,237500,79.0,111.0,07:31,133.0,07:53,Complete
B90,R90,6,1,11,122,07:42,133,07:53,27,9,18,0,255800,85.0,115.0,07:35,131.0,07:51,Complete
B91,R91,8,2,11,125,07:45,136,07:56,37,12,25,0,255550,57.0,113.0,07:33,126.0,07:46,Complete
B92,R92,3,8,10,128,07:48,138,07:58,52,12,40,1,269725,29.0,125.0,07:45,138.0,07:58,Complete
B93,R93,3,8,10,129,07:49,139,07:59,52,12,40,0,254200,1.0,117.0,07:37,133.0,07:53,Complete
B94,R94,9,6,11,140,08:00,151,08:11,125,22,103,1,258656,4.0,120.0,07:40,151.0,08:11,Complete
B95,R95,7,4,10,128,07:48,138,07:58,76,9,67,0,256700,24.0,119.0,07:39,132.0,07:52,Complete
B96,R96,9,6,11,141,08:01,152,08:12,125,22,103,0,252700,3.0,119.0,07:39,151.0,08:11,Complete
B97,R97,6,1,11,129,07:49,140,08:00,27,9,18,1,581488,21.0,126.0,07:46,139.0,07:59,Complete
B98,R98,6,1,11,130,07:50,141,08:01,27,9,18,1,290744,5.0,130.0,07:50,140.0,08:00,Complete
B99,R99,3,8,10,134,07:54,144,08:04,52,12,40,1,269725,29.0,122.0,07:42,141.0,08:01,Complete
B100,R100,9,6,11,144,08:04,155,08:15,125,22,103,1,517312,4.0,123.0,07:43,154.0,08:14,Complete
B101,R101,6,1,11,132,07:52,143,08:03,27,9,18,1,581488,21.0,123.0,07:43,136.0,07:56,Complete
